dna_code,Host_species,Total _read_count,group,ind_id,full_dataset,reduced_ dataset,Host_species,sex,fa,bm,injection,date,area,Location,Lat,Long,Colony,ring_no,sample_no,comments
BS124,Glossophaga soricina,15298,G129,125,no,no,Glossophaga soricina,M,35.8,11.5,NA,15.12.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,NA,NA,NA,NA
BS137,Glossophaga sp.,154187,G142,13,no,no,Glossophaga sp.,M,33.6,8.9,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS032,Lonchophylla robusta,115157,G37,66,no,no,Lonchophylla robusta,M,45.8,16.5,NA,08.12.2018,La Gamba,Caverna Piedras Blancas,-83.184559,8.726740271,NA,NA,NA,NA
BS118,Lonchophylla robusta,14457,G123,67,no,no,Lonchophylla robusta,M,43.4,14.5,NA,08.12.2018,La Gamba,Caverna Piedras Blancas,-83.184559,8.726740271,NA,NA,NA,NA
BS120,Lonchophylla robusta,96408,G125,68,no,no,Lonchophylla robusta,F,42,16.5,NA,08.12.2018,La Gamba,Caverna Piedras Blancas,-83.184559,8.726740271,NA,NA,NA,NA
BS023,Mimon crenulatum,45056,G28,161,no,no,Mimon crenulatum,NA,51.5,18.8,NA,18.12.2018,La Selva,STR 1000,,,NA,NA,NA,NA
BS002,Molossus bondae,194986,G7,174,no,no,Molossus bondae,F,39,18,NA,19.12.2018,La Selva,Casas Familia,-84.00786,10.43836,NA,NA,NA,NA
BS008,Molossus bondae,117549,G13,145,no,no,Molossus bondae,NA,40,16.8,NA,17.12.2018,La Selva,Lab-Clearing,-83.2016691,8.700907853,NA,NA,NA,NA
BS009,Molossus bondae,30233,G14,182,no,no,Molossus bondae,F,38,14.3,NA,19.12.2018,La Selva,Casas Familia,-84.00786,10.43836,NA,NA,NA,NA
BS001,Molossus sinaloae,56970,G6,168,no,no,Molossus sinaloae,NA,48,23.1,NA,19.12.2018,La Selva,Casas Familia,-84.00786,10.43836,NA,NA,NA,NA
BS010,Molossus sinaloae,5766,G15,179,no,no,Molossus sinaloae,M,49.5,21.5,NA,19.12.2018,La Selva,Casas Familia,-84.00786,10.43836,NA,NA,NA,NA
BS021,Molossus sinaloae,13958,G26,180,no,no,Molossus sinaloae,M,50,20.6,NA,19.12.2018,La Selva,Casas Familia,-84.00786,10.43836,NA,NA,NA,NA
BS067,Myotis albescens,54226,G72,7,no,no,Myotis albescens,M,33.3,4.7,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS070,Myotis albescens,85804,G75,5,no,no,Myotis albescens,M,35.3,4.5,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS079,Myotis albescens,26389,G84,8,no,no,Myotis albescens,M,34.7,4.6,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS126,Myotis albescens,44242,G131,6,no,no,Myotis albescens,M,33.5,4.4,NA,01.12.2018,La Gamba,Station,-83.2016691,8.700907853,NA,NA,NA,NA
BS136,Myotis albescens,119368,G141,169,no,no,Myotis albescens,NA,39,9,NA,19.12.2018,La Selva,Casas Familia,-84.00786,10.43836,NA,NA,NA,NA
BS027,NA,25204,G32,NC,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,Amise control
BNCE1,NA,145,G1,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNCE2,NA,173,G2,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
BNCE3,NA,97,G3,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNCP1,NA,100,G4,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
